Club,Position,Starter_Name,Starter_Rating,Backup_Name,Backup_Rating,Gap
RCD Espanyol,Goalkeeper,Diego López,80,Roberto,77,3
RCD Espanyol,Defender,David López,79,Mario Hermoso,76,3
RCD Espanyol,Midfielder,Sergi Darder,79,Granero,78,1
RCD Espanyol,Attacker,Leo Baptistao,78,Sergio García,77,1
Hebei China Fortune FC,Goalkeeper,Yang Cheng,66,Ou Ya,59,7
Hebei China Fortune FC,Defender,Jiang Zhipeng,68,Ren Hang,67,1
Hebei China Fortune FC,Midfielder,E. Lavezzi,79,Zhang Chengdong,69,10
Hebei China Fortune FC,Attacker,A. El Kaabi,67,Dong Xuesheng,66,1
Cagliari,Goalkeeper,A. Cragno,78,Rafael,75,3
Cagliari,Defender,D. Srna,80,R. Klavan,77,3
Cagliari,Midfielder,L. Castro,78,N. Barella,77,1
Cagliari,Attacker,L. Pavoletti,78,João Pedro,76,2
Chicago Fire,Goalkeeper,R. Sánchez,63,S. Cleveland,62,1
Chicago Fire,Defender,B. Schweinsteiger,80,J. Kappelhof,69,11
Chicago Fire,Midfielder,A. Katai,74,M. de Leeuw,67,7
Chicago Fire,Attacker,N. Nikolić,75,Y. Movsisyan,69,6
DC United,Goalkeeper,B. Hamid,73,D. Ousted,70,3
DC United,Defender,S. Birnbaum,70,K. Opare,68,2
DC United,Midfielder,L. Acosta,77,Y. Asad,73,4
DC United,Attacker,W. Rooney,80,D. Mattocks,68,12
Sagan Tosu,Goalkeeper,S. Gonda,68,Y. Takaoka,59,9
Sagan Tosu,Defender,Y. Yoshida,68,Kim Min Hyeok,68,0
Sagan Tosu,Midfielder,Y. Ono,68,H. Kawano,66,2
Sagan Tosu,Attacker,Fernando Torres,80,M. Kanazaki,73,7
Dynamo Kyiv,Goalkeeper,D. Boyko,76,A. Rudko,70,6
Dynamo Kyiv,Defender,T. Kádár,75,M. Morozyuk,75,0
Dynamo Kyiv,Midfielder,V. Tsygankov,79,B. Verbič,79,0
Dynamo Kyiv,Attacker,A. Besedin,74,M. Duelund,70,4
Santos,Goalkeeper,Pierrino Faria,73,Ailton Cardenhas,69,4
Santos,Defender,Vieirundinho,77,Joshuando Sá,72,5
Santos,Midfielder,Adilson Edrada,75,Leordinho Paes,72,3
Santos,Attacker,Luimo Boas Santos,79,Arthur Silbeira,68,11
Internacional,Goalkeeper,Gabri Prestão,79,Jairo Farnias,70,9
Internacional,Defender,Antônio Chiamuloira,79,Gazzolisco,77,2
Internacional,Midfielder,Sidney Pessinho,78,Claudio Coíntra,78,0
Internacional,Attacker,Hélton Celanova,74,Gus Outomouro,73,1
América FC (Minas Gerais),Goalkeeper,Jaim Abra,73,Mateus Tangil,67,6
América FC (Minas Gerais),Defender,Osvaldo Lodeiro,74,Douglas Armeira,73,1
América FC (Minas Gerais),Midfielder,Melvin Parrela,79,Ailton Guevara,75,4
América FC (Minas Gerais),Attacker,Thiago Alminxa,72,Túlio Sandoiro,71,1
Independiente,Goalkeeper,M. Campaña,79,G. Rehak,65,14
Independiente,Defender,F. Bustos,76,A. Franco,75,1
Independiente,Midfielder,M. Meza,78,P. Hernández,78,0
Independiente,Attacker,E. Gigliotti,77,L. Fernández,74,3
Boca Juniors,Goalkeeper,E. Andrada,75,A. Rossi,74,1
Boca Juniors,Defender,C. Izquierdoz,78,F. Fabra,77,1
Boca Juniors,Midfielder,W. Barrios,78,C. Tévez,78,0
Boca Juniors,Attacker,C. Pavón,79,D. Benedetto,79,0
Cruz Azul,Goalkeeper,J. Corona,75,G. Allison,65,10
Cruz Azul,Defender,P. Aguilar,76,J. Madueña,70,6
Cruz Azul,Midfielder,E. Hernández,78,Edgar Méndez,75,3
Cruz Azul,Attacker,M. Caraglio,74,A. Mena,72,2
1. FSV Mainz 05,Goalkeeper,R. Adler,79,J. Huth,69,10
1. FSV Mainz 05,Defender,Aarón Martín,77,D. Brosinski,76,1
1. FSV Mainz 05,Midfielder,J. Gbamin,79,D. Latza,77,2
1. FSV Mainz 05,Attacker,R. Quaison,74,A. Ujah,73,1
Bournemouth,Goalkeeper,A. Begović,79,A. Boruc,74,5
Bournemouth,Defender,N. Aké,79,S. Cook,78,1
Bournemouth,Midfielder,J. Lerma,79,L. Cook,77,2
Bournemouth,Attacker,C. Wilson,79,J. Defoe,77,2
Spartak Moscow,Goalkeeper,A. Selikhov,78,A. Rebrov,74,4
Spartak Moscow,Defender,G. Dzhikiya,77,S. Bocchetti,76,1
Spartak Moscow,Midfielder,Fernando,78,R. Eremenko,78,0
Spartak Moscow,Attacker,Zé Luís,79,I. Popov,76,3
Racing Club,Goalkeeper,G. Arias,73,J. García,70,3
Racing Club,Defender,A. Donatti,76,L. Orbán,74,2
Racing Club,Midfielder,R. Centurión,79,M. Díaz,76,3
Racing Club,Attacker,L. López,79,G. Bou,77,2
FC Augsburg,Goalkeeper,A. Luthe,73,F. Giefer,70,3
FC Augsburg,Defender,J. Gouweleeuw,79,P. Max,78,1
FC Augsburg,Midfielder,M. Gregoritsch,79,D. Baier,79,0
FC Augsburg,Attacker,J. Schieber,73,Ji Dong Won,71,2
Fiorentina,Goalkeeper,A. Lafont,78,B. Drągowski,71,7
Fiorentina,Defender,G. Pezzella,79,Vitor Hugo,76,3
Fiorentina,Midfielder,J. Veretout,79,M. Benassi,77,2
Fiorentina,Attacker,F. Chiesa,78,G. Simeone,78,0
FC Nantes,Goalkeeper,C. Tătăruşanu,79,M. Dupé,69,10
FC Nantes,Defender,Diego Carlos,78,K. Mbodji,77,1
FC Nantes,Midfielder,V. Rongier,78,A. Touré,76,2
FC Nantes,Attacker,E. Sala,78,Gabriel Boschilia,76,2
Feyenoord,Goalkeeper,K. Vermeer,75,J. Bijlow,72,3
Feyenoord,Defender,Eric Botteghin,76,S. van Beek,75,1
Feyenoord,Midfielder,T. Vilhena,77,J. Clasie,76,1
Feyenoord,Attacker,S. Berghuis,79,N. Jørgensen,77,2
Club Brugge KV,Goalkeeper,K. Letica,72,E. Horvath,71,1
Club Brugge KV,Defender,S. Denswil,75,B. Mechele,75,0
Club Brugge KV,Midfielder,H. Vanaken,79,M. Nakamba,78,1
Club Brugge KV,Attacker,Wesley,77,J. Vossen,74,3
Brighton & Hove Albion,Goalkeeper,M. Ryan,79,D. Button,68,11
Brighton & Hove Albion,Defender,L. Dunk,78,Montoya,77,1
Brighton & Hove Albion,Midfielder,J. Izquierdo,77,P. Groß,77,0
Brighton & Hove Albion,Attacker,G. Murray,77,F. Andone,77,0
Al Ahli,Goalkeeper,M. Al Owais,71,Y. Al Mosailem,68,3
Al Ahli,Defender,Alexis,74,M. Hawsawi,73,1
Al Ahli,Midfielder,Souza,79,Jurado,78,1
Al Ahli,Attacker,O. Al Soma,78,Djaniny,77,1
Jiangsu Suning FC,Goalkeeper,Gu Chao,66,Li Haitao,57,9
Jiangsu Suning FC,Defender,G. Paletta,77,Ji Xiang,67,10
Jiangsu Suning FC,Midfielder,Wu Xi,69,Wang Song,63,6
Jiangsu Suning FC,Attacker,Alex Teixeira,79,Eder,79,0
SC Freiburg,Goalkeeper,A. Schwolow,77,M. Flekken,72,5
SC Freiburg,Defender,D. Heintz,77,C. Günter,75,2
SC Freiburg,Midfielder,J. Gondorf,75,Y. Ravet,75,0
SC Freiburg,Attacker,N. Petersen,79,F. Niederlechner,75,4
PAOK,Goalkeeper,A. Paschalakis,75,R. Rey,74,1
PAOK,Defender,Vieirinha,76,Varela,76,0
PAOK,Midfielder,P. Wernbloom,79,O. El Kaddouri,76,3
PAOK,Attacker,A. Prijović,77,N. Karelis,72,5
Stade Rennais FC,Goalkeeper,T. Koubek,76,A. Diallo,71,5
Stade Rennais FC,Defender,D. Da Silva,77,Mexer,75,2
Stade Rennais FC,Midfielder,H. Ben Arfa,79,B. Bourigeaud,77,2
Stade Rennais FC,Attacker,M. Niang,76,J. Siebatcheu,70,6
Trabzonspor,Goalkeeper,O. Kıvrak,77,E. Alvarado,67,10
Trabzonspor,Defender,João Pereira,74,F. Novák,73,1
Trabzonspor,Midfielder,J. Kucka,77,Y. Yazıcı,76,1
Trabzonspor,Attacker,B. Yılmaz,79,H. Rodallega,74,5
SPAL,Goalkeeper,A. Gomis,76,V. Milinković-Savić,71,5
SPAL,Defender,Felipe,75,J. Djourou,73,2
SPAL,Midfielder,M. Lazzari,78,F. Viviani,76,2
SPAL,Attacker,A. Paloschi,76,A. Petagna,76,0
Portimonense SC,Goalkeeper,Ricardo Ferreira,70,Leonardo,64,6
Portimonense SC,Defender,Rúben Fernandes,72,Jubal,72,0
Portimonense SC,Midfielder,Paulinho,75,Pedro Sá,73,2
Portimonense SC,Attacker,S. Nakajima,78,J. Martínez,77,1
Olympiacos CFP,Goalkeeper,José Sá,77,A. Gianniotis,74,3
Olympiacos CFP,Defender,O. Elabdellaoui,75,J. Vuković,75,0
Olympiacos CFP,Midfielder,Daniel Podence,78,B. Natcho,78,0
Olympiacos CFP,Attacker,Guerrero,74,A. Hassan,74,0
Club Atlético Huracán,Goalkeeper,M. Díaz,78,F. Pellegrino,70,8
Club Atlético Huracán,Defender,S. Salcedo,73,C. Chimino,72,1
Club Atlético Huracán,Midfielder,A. Roa,75,I. Damonte,72,3
Club Atlético Huracán,Attacker,A. Chávez,74,L. Gamba,73,1
Kasimpaşa SK,Goalkeeper,R. Köse,71,E. Birniçan,65,6
Kasimpaşa SK,Defender,O. Veigneau,73,Josué Sá,72,1
Kasimpaşa SK,Midfielder,Trezeguet,78,D. Pavelka,72,6
Kasimpaşa SK,Attacker,M. Diagne,74,B. Koita,71,3
Newcastle United,Goalkeeper,M. Dúbravka,78,K. Darlow,73,5
Newcastle United,Defender,J. Lascelles,78,F. Lejeune,78,0
Newcastle United,Midfielder,J. Shelvey,78,M. Ritchie,77,1
Newcastle United,Attacker,S. Rondón,77,Ayoze Pérez,76,1
Frosinone,Goalkeeper,M. Sportiello,78,F. Bardi,74,4
Frosinone,Defender,E. Goldaniga,74,C. Molinaro,72,2
Frosinone,Midfielder,L. Crisetig,74,E. Hallfreðsson,72,2
Frosinone,Attacker,J. Campbell,76,C. Ciano,75,1
Querétaro,Goalkeeper,Tiago Volpi,78,L. Cárdenas,67,11
Querétaro,Defender,M. Samudio,71,D. Novaretti,69,2
Querétaro,Midfielder,E. Puch,74,J. Güemez,72,2
Querétaro,Attacker,Camilo,74,M. Britos,73,1
KRC Genk,Goalkeeper,D. Vukovic,73,N. Jackers,66,7
KRC Genk,Defender,J. Aidoo,74,S. Dewaest,73,1
KRC Genk,Midfielder,L. Trossard,78,Pozuelo,78,0
KRC Genk,Attacker,M. Samatta,76,Z. Gano,70,6
Hannover 96,Goalkeeper,M. Esser,76,P. Tschauner,75,1
Hannover 96,Defender,W. Anton,77,J. Korb,75,2
Hannover 96,Midfielder,P. Schwegler,76,I. Bebou,76,0
Hannover 96,Attacker,N. Füllkrug,78,B. Wood,73,5
Stade Malherbe Caen,Goalkeeper,E. Zelazny,71,P. Reulet,69,2
Stade Malherbe Caen,Defender,P. Baysse,76,A. Djiku,76,0
Stade Malherbe Caen,Midfielder,F. Fajr,78,S. Peeters,73,5
Stade Malherbe Caen,Attacker,C. Beauvue,75,E. Crivelli,74,1
Godoy Cruz,Goalkeeper,R. Ramírez,65,A. Mehring,62,3
Godoy Cruz,Defender,D. Viera,74,L. Abecasis,72,2
Godoy Cruz,Midfielder,J. Elías,71,J. Andrada,67,4
Godoy Cruz,Attacker,S. García,78,A. González,72,6
Toulouse Football Club,Goalkeeper,B. Reynet,78,M. Goicoechea,72,6
Toulouse Football Club,Defender,K. Amian,75,S. Yago,72,3
Toulouse Football Club,Midfielder,M. Dossevi,77,J. Durmaz,75,2
Toulouse Football Club,Attacker,M. Gradel,78,F. Mubele,74,4
RSC Anderlecht,Goalkeeper,T. Didillon,74,F. Boeckx,71,3
RSC Anderlecht,Defender,O. Vranješ,74,A. Najar,73,1
RSC Anderlecht,Midfielder,A. Trebel,78,S. Kums,75,3
RSC Anderlecht,Attacker,I. Santini,76,L. Dimata,74,2
Huddersfield Town,Goalkeeper,J. Lössl,76,B. Hamer,67,9
Huddersfield Town,Defender,T. Kongolo,78,C. Schindler,78,0
Huddersfield Town,Midfielder,J. Hogg,76,R. Sobhi,74,2
Huddersfield Town,Attacker,S. Mounié,75,L. Depoitre,75,0
CD Tondela,Goalkeeper,Cláudio Ramos,78,Pedro Silva,65,13
CD Tondela,Defender,Ricardo Costa,74,Jorge Fernandes,69,5
CD Tondela,Midfielder,Xavier,71,J. Murillo,70,1
CD Tondela,Attacker,C. Arango,69,Tomané,69,0
Seattle Sounders FC,Goalkeeper,S. Frei,72,B. Meredith,61,11
Seattle Sounders FC,Defender,C. Marshall,72,R. Torres,71,1
Seattle Sounders FC,Midfielder,N. Lodeiro,78,G. Svensson,74,4
Seattle Sounders FC,Attacker,R. Ruidíaz,76,J. Morris,70,6
Hamburger SV,Goalkeeper,J. Pollersbeck,72,T. Mickel,65,7
Hamburger SV,Defender,K. Papadopoulos,78,Douglas Santos,76,2
Hamburger SV,Midfielder,A. Hunt,76,L. Holtby,76,0
Hamburger SV,Attacker,P. Lasogga,72,Hwang Hee Chan,72,0
FC Red Bull Salzburg,Goalkeeper,A. Walke,72,C. Stanković,69,3
FC Red Bull Salzburg,Defender,André Ramalho,75,S. Lainer,74,1
FC Red Bull Salzburg,Midfielder,Z. Junuzović,78,A. Haidara,75,3
FC Red Bull Salzburg,Attacker,M. Dabbur,77,T. Minamino,73,4
Rio Ave FC,Goalkeeper,Léo Jardim,71,G. Makaridze,70,1
Rio Ave FC,Defender,Afonso Figueiredo,71,Miguel Rodrigues,71,0
Rio Ave FC,Midfielder,Tarantini,75,Diego Lopes,73,2
Rio Ave FC,Attacker,Fábio Coentrão,78,Galeno,73,5
FC Girondins de Bordeaux,Goalkeeper,B. Costil,78,J. Prior,71,7
FC Girondins de Bordeaux,Defender,Y. Sabaly,77,Pablo,76,1
FC Girondins de Bordeaux,Midfielder,Otávio,77,Y. Sankharé,76,1
FC Girondins de Bordeaux,Attacker,F. Kamano,77,J. Briand,76,1
Melbourne Victory,Goalkeeper,L. Thomas,69,M. Acton,59,10
Melbourne Victory,Defender,G. Niedermeier,69,T. Deng,67,2
Melbourne Victory,Midfielder,K. Honda,78,J. Troisi,70,8
Melbourne Victory,Attacker,O. Toivonen,75,K. Barbarouses,70,5
Parma,Goalkeeper,L. Sepe,75,P. Frattali,67,8
Parma,Defender,M. Gazzola,73,Bruno Alves,71,2
Parma,Midfielder,A. Grassi,75,L. Rigoni,75,0
Parma,Attacker,Gervinho,78,R. Inglese,77,1
FC Basel 1893,Goalkeeper,J. Omlin,71,M. Hansen,69,2
FC Basel 1893,Defender,M. Suchý,77,S. Widmer,76,1
FC Basel 1893,Midfielder,L. Zuffi,76,Serey Dié,75,1
FC Basel 1893,Attacker,A. Ajeti,74,D. Oberlin,69,5
Al Wehda,Goalkeeper,M. Awad,66,A. Al Jadani,61,5
Al Wehda,Defender,O. Hawsawi,72,Renato Chaves,70,2
Al Wehda,Midfielder,E. Çolak,77,R. Otero,75,2
Al Wehda,Attacker,Fernandão,74,A. Abdu Jaber,63,11
BSC Young Boys,Goalkeeper,D. von Ballmoos,70,M. Wölfli,68,2
BSC Young Boys,Defender,K. Mbabu,77,S. von Bergen,73,4
BSC Young Boys,Midfielder,S. Sanogo,76,C. Fassnacht,72,4
BSC Young Boys,Attacker,G. Hoarau,77,R. Assalé,73,4
KAA Gent,Goalkeeper,L. Kalinić,76,C. Coosemans,70,6
KAA Gent,Defender,A. Souquet,76,D. Bronn,73,3
KAA Gent,Midfielder,V. Odjidja-Ofoe,77,B. Verstraete,75,2
KAA Gent,Attacker,G. Kvilitaia,71,R. Yaremchuk,71,0
Al Ittihad,Goalkeeper,F. Al Qarni,68,A. Al Qarni,67,1
Al Ittihad,Defender,Thiago Carleto,70,M. Jurman,70,0
Al Ittihad,Midfielder,C. Villanueva,77,Valdivia,73,4
Al Ittihad,Attacker,Romarinho,72,A. Pešić,70,2
Standard de Liège,Goalkeeper,G. Ochoa,77,J. Gillet,70,7
Standard de Liège,Defender,C. Luyindama,75,K. Laifis,74,1
Standard de Liège,Midfielder,M. Carcela-González,77,R. Marin,76,1
Standard de Liège,Attacker,Orlando Sá,73,R. Emond,73,0
Shanghai Greenland Shenhua FC,Goalkeeper,Li Shuai,63,Qiu Shengjiong,57,6
Shanghai Greenland Shenhua FC,Defender,Bai Jiajun,68,Rong Hao,64,4
Shanghai Greenland Shenhua FC,Midfielder,G. Moreno,77,O. Romero,76,1
Shanghai Greenland Shenhua FC,Attacker,D. Ba,75,Mao Jianqing,65,10
Colo-Colo,Goalkeeper,B. Cortés,71,A. Orión,70,1
Colo-Colo,Defender,M. Zaldivia,74,D. Pérez,73,1
Colo-Colo,Midfielder,J. Valdivia,77,E. Pavez,73,4
Colo-Colo,Attacker,E. Paredes,75,N. Maturana,68,7
Junior FC,Goalkeeper,S. Viera,72,J. Chunga,69,3
Junior FC,Defender,R. Pérez,73,M. Piedrahita,72,1
Junior FC,Midfielder,J. Barrera,74,F. Sambueza,73,1
Junior FC,Attacker,T. Gutiérrez,77,L. Ruiz,68,9
West Bromwich Albion,Goalkeeper,S. Johnstone,75,B. Myhill,70,5
West Bromwich Albion,Defender,K. Gibbs,76,A. Hegazi,76,0
West Bromwich Albion,Midfielder,M. Phillips,76,J. Livermore,74,2
West Bromwich Albion,Attacker,J. Rodriguez,77,D. Gayle,75,2
RC Strasbourg Alsace,Goalkeeper,M. Sels,76,E. Kawashima,71,5
RC Strasbourg Alsace,Defender,K. Lala,77,S. Mitrović,75,2
RC Strasbourg Alsace,Midfielder,J. Martin,76,D. Liénard,75,1
RC Strasbourg Alsace,Attacker,L. Mothiba,72,Nuno da Costa,72,0
Göztepe SK,Goalkeeper,Beto,76,G. Bakırbaş,60,16
Göztepe SK,Defender,Titi,75,A. Traoré,73,2
Göztepe SK,Midfielder,Castro,74,Y. Öztekin,73,1
Göztepe SK,Attacker,N. Ghilas,71,C. Jerome,71,0
Deportivo Cali,Goalkeeper,C. Vargas,75,P. Mina,68,7
Deportivo Cali,Defender,D. Rosero Valencia,71,D. Andrade,71,0
Deportivo Cali,Midfielder,M. Torres,76,M. Cabrera,74,2
Deportivo Cali,Attacker,J. Sand,77,M. Murillo,69,8
Deportivo Toluca,Goalkeeper,A. Talavera,75,L. García,70,5
Deportivo Toluca,Defender,S. García,76,F. Tobio,73,3
Deportivo Toluca,Midfielder,R. Sambueza,77,L. Quiñones,75,2
Deportivo Toluca,Attacker,P. Barrientos,74,A. Canelo,70,4
Bologna,Goalkeeper,L. Skorupski,76,Da Costa,74,2
Bologna,Defender,S. De Maio,77,Danilo,77,0
Bologna,Midfielder,A. Poli,77,E. Pulgar,77,0
Bologna,Attacker,R. Palacio,77,M. Destro,76,1
Nagoya Grampus,Goalkeeper,M. Langerak,73,S. Narazaki,65,8
Nagoya Grampus,Defender,Willian Rocha,69,S. Nakatani,68,1
Nagoya Grampus,Midfielder,Eduardo Neto,68,Y. Kobayashi,64,4
Nagoya Grampus,Attacker,Jô,77,Gabriel Xavier,70,7
Amiens SC,Goalkeeper,R. Gurtner,77,M. Dreyer,67,10
Amiens SC,Defender,P. Gouano,75,E. Krafth,74,1
Amiens SC,Midfielder,Ganso,76,B. Zungu,75,1
Amiens SC,Attacker,M. Konaté,76,B. Koïta,67,9
Changchun Yatai FC,Goalkeeper,Wu Yake,65,Yi Fan,61,4
Changchun Yatai FC,Defender,N. Pejčinović,77,Yu Rui,67,10
Changchun Yatai FC,Midfielder,A. Mierzejewski,75,Tan Long,68,7
Changchun Yatai FC,Attacker,O. Ighalo,77,L. Vibe,71,6
Club Atlético Lanús,Goalkeeper,G. Sara,72,M. Ibáñez,67,5
Club Atlético Lanús,Defender,J. Gómez,73,M. Torsiglieri,72,1
Club Atlético Lanús,Midfielder,F. Quignon,72,F. Barrientos,71,1
Club Atlético Lanús,Attacker,L. Acosta,77,S. Ribas,73,4
Botafogo,Goalkeeper,Nelsildo Reis,76,Eduardo Fonseira,71,5
Botafogo,Defender,Lafortiscinho,75,Jailson Caeiro,74,1
Botafogo,Midfielder,Allan Bardinho,75,Adrián Burnabão,72,3
Botafogo,Attacker,Formosandrinho,77,Rômulão Selva,69,8
Club América,Goalkeeper,A. Marchesín,77,O. Jiménez,71,6
Club América,Defender,P. Aguilar,74,B. Valdez,74,0
Club América,Midfielder,M. Uribe,76,A. Ibargüen,75,1
Club América,Attacker,O. Peralta,75,R. Martínez,75,0
Udinese,Goalkeeper,J. Musso,74,S. Scuffet,72,2
Udinese,Defender,B. Nuytinck,74,Samir,73,1
Udinese,Midfielder,A. Barák,77,V. Behrami,76,1
Udinese,Attacker,R. De Paul,77,K. Lasagna,77,0
Real Valladolid CF,Goalkeeper,Jordi Masip,77,Yoel,76,1
Real Valladolid CF,Defender,Nacho,74,Calero,73,1
Real Valladolid CF,Midfielder,Ivi,75,Keko,75,0
Real Valladolid CF,Attacker,E. Ünal,77,Toni Villa,73,4
CD Leganés,Goalkeeper,Iván Cuéllar,76,A. Lunin,76,0
CD Leganés,Defender,Bustinza,75,J. Silva,74,1
CD Leganés,Midfielder,A. Szymanowski,77,Eraso,76,1
CD Leganés,Attacker,G. Carrillo,75,D. Rolán,75,0
Club Atlético Banfield,Goalkeeper,I. Arboleda,73,F. Altamirano,67,6
Club Atlético Banfield,Defender,R. Civelli,77,J. Rodríguez,70,7
Club Atlético Banfield,Midfielder,N. Silva,74,N. Bertolo,72,2
Club Atlético Banfield,Attacker,D. Cvitanich,77,M. Torres,66,11
Celtic,Goalkeeper,C. Gordon,74,S. Bain,68,6
Celtic,Defender,F. Benković,76,K. Tierney,76,0
Celtic,Midfielder,S. Brown,77,T. Rogić,76,1
Celtic,Attacker,L. Griffiths,74,O. Edouard,73,1
Vitória Guimarães,Goalkeeper,Douglas,77,Miguel Silva,75,2
Vitória Guimarães,Defender,Pedro Henrique,76,F. Hanin,75,1
Vitória Guimarães,Midfielder,André André,77,Tozé,76,1
Vitória Guimarães,Attacker,Welthon,74,J. Tallo,72,2
FC København,Goalkeeper,J. Joronen,69,S. Andersen,68,1
FC København,Defender,A. Bjelland,74,N. Boilesen,72,2
FC København,Midfielder,V. Fischer,77,R. Falk,75,2
FC København,Attacker,D. N'Doye,74,P. Sotiriou,69,5
UD Las Palmas,Goalkeeper,Raúl Fernández,74,Nauzet,71,3
UD Las Palmas,Defender,Juan Cala,74,De la Bella,74,0
UD Las Palmas,Midfielder,Timor,75,Tana,74,1
UD Las Palmas,Attacker,Rubén Castro,77,S. Araujo,73,4
Deportivo de La Coruña,Goalkeeper,Dani Giménez,72,Adrián Ortolá,69,3
Deportivo de La Coruña,Defender,Bóveda,73,David Simón,72,1
Deportivo de La Coruña,Midfielder,F. Cartabia,77,Vicente Gómez,76,1
Deportivo de La Coruña,Attacker,Borja Valle,75,C. Santos,73,2
Universidad Católica,Goalkeeper,M. Dituro,73,M. Vargas,60,13
Universidad Católica,Defender,G. Lanaro,72,B. Kuscevic,71,1
Universidad Católica,Midfielder,D. Buonanotte,77,L. Aued,72,5
Universidad Católica,Attacker,J. Fuenzalida,74,S. Sáez,72,2
San Lorenzo de Almagro,Goalkeeper,N. Navarro,73,S. Torrico,71,2
San Lorenzo de Almagro,Defender,G. Rodríguez,75,F. Coloccini,72,3
San Lorenzo de Almagro,Midfielder,F. Belluschi,77,R. Botta,75,2
San Lorenzo de Almagro,Attacker,N. Blandi,76,N. Reniero,69,7
Rayo Vallecano,Goalkeeper,Alberto,74,S. Dimitrievski,71,3
Rayo Vallecano,Defender,Jordi Amat,76,Gálvez,75,1
Rayo Vallecano,Midfielder,O. Trejo,77,Embarba,76,1
Rayo Vallecano,Attacker,De Tomás,76,Alex Alegría,71,5
Monterrey,Goalkeeper,J. Carrizo,72,E. Reséndez,66,6
Monterrey,Defender,L. Vangioni,75,N. Sánchez,74,1
Monterrey,Midfielder,C. Ortíz,77,R. Pizarro,76,1
Monterrey,Attacker,R. Funes Mori,77,D. Pabón,76,1
Columbus Crew SC,Goalkeeper,Z. Steffen,75,J. Kempin,65,10
Columbus Crew SC,Defender,H. Afful,73,M. Valenzuela,71,2
Columbus Crew SC,Midfielder,F. Higuaín,77,Pedro Santos,74,3
Columbus Crew SC,Attacker,G. Zardes,73,P. Mullins,67,6
MKE Ankaragücü,Goalkeeper,J. Hopf,76,K. Çelikay,68,8
MKE Ankaragücü,Defender,B. Koné,76,Tiago Pinto,75,1
MKE Ankaragücü,Midfielder,T. Bifouma,75,Y. Mokhtar,73,2
MKE Ankaragücü,Attacker,A. Cerci,74,K. Kanatsızkuş,70,4
Guizhou Hengfeng FC,Goalkeeper,Su Boyang,72,Wang Zhuo,66,6
Guizhou Hengfeng FC,Defender,K. Boli,71,Tang Xin,66,5
Guizhou Hengfeng FC,Midfielder,Mario Suárez,76,Ilhamjan Iminjan,67,9
Guizhou Hengfeng FC,Attacker,B. Trawally,72,N. Jelavić,72,0
Swansea City,Goalkeeper,E. Mulder,72,K. Nordfeldt,72,0
Swansea City,Defender,M. van der Hoorn,73,K. Naughton,73,0
Swansea City,Midfielder,J. Montero,76,L. Fer,74,2
Swansea City,Attacker,W. Bony,76,L. Narsingh,74,2
Tianjin TEDA FC,Goalkeeper,Du Jia,62,Yang Qipeng,60,2
Tianjin TEDA FC,Defender,F. Bastians,74,Zhao Honglue,64,10
Tianjin TEDA FC,Midfielder,M. Mirahmetjan,64,Zhang Chiming,62,2
Tianjin TEDA FC,Attacker,F. Acheampong,76,Hui Jiakang,64,12
Chongqing Dangdai Lifan FC SWM Team,Goalkeeper,Deng Xiaofei,67,Sui Weijie,62,5
Chongqing Dangdai Lifan FC SWM Team,Defender,Sui Donglu,65,Chen Lei,63,2
Chongqing Dangdai Lifan FC SWM Team,Midfielder,Fernandinho,75,Fernandinho,72,3
Chongqing Dangdai Lifan FC SWM Team,Attacker,Alan Kardec,76,Sebá,72,4
AEK Athens,Goalkeeper,V. Barkas,74,P. Tsintotas,69,5
AEK Athens,Defender,D. Chygrynskyi,76,N. Hult,74,2
AEK Athens,Midfielder,M. Livaja,76,André Simões,76,0
AEK Athens,Attacker,E. Ponce,72,G. Giakoumakis,70,2
Al Taawoun,Goalkeeper,Cássio,75,H. Shaian,62,13
Al Taawoun,Defender,Ricardo Machado,67,T. Al Absi,65,2
Al Taawoun,Midfielder,Héldon,76,J. Al Hussien,73,3
Al Taawoun,Attacker,L. Tawamba,69,A. Adam,64,5
Melbourne City FC,Goalkeeper,M. Birighitti,65,E. Galekovic,64,1
Melbourne City FC,Defender,R. De Laet,71,B. Schenkeveld,70,1
Melbourne City FC,Midfielder,F. Berenguer,68,R. Griffiths,67,1
Melbourne City FC,Attacker,B. Fornaroli,76,M. O'Halloran,69,7
En Avant de Guingamp,Goalkeeper,K. Johnsson,74,D. Petrić,70,4
En Avant de Guingamp,Defender,C. Kerbrat,76,Pedro Rebocho,74,2
En Avant de Guingamp,Midfielder,M. Coco,75,L. Deaux,75,0
En Avant de Guingamp,Attacker,N. Roux,75,N. Julan,67,8
Akhisar Belediyespor,Goalkeeper,M. Lukač,69,F. Öztürk,69,0
Akhisar Belediyespor,Defender,Miguel Lopes,76,G. Vural,72,4
Akhisar Belediyespor,Midfielder,Josué,76,A. Regattin,73,3
Akhisar Belediyespor,Attacker,Y. Seleznyov,73,Paulo Henrique,71,2
Foggia,Goalkeeper,A. Bizzarri,76,A. Noppert,64,12
Foggia,Defender,M. Camporese,70,D. Tonucci,69,1
Foggia,Midfielder,L. Rizzo,74,O. Kragl,73,1
Foggia,Attacker,C. Galano,72,F. Mazzeo,69,3
LOSC Lille,Goalkeeper,M. Maignan,75,H. Koffi,66,9
